title,name,likes,tags,commentsCount,comments,makes,remixes,apps,date,url,id,img
Fortnite vBuck,TuxInvader,47,"['Fortnite', 'fortnite models', 'mini', 'miniature', 'miniatures', 'miniature 28mm', 'vbuck', 'vbucks']",1,[['The only real Free V-Bucks generator']],0,0,6,"by TuxInvader January 23, 2023",https://www.thingiverse.com/thing:5787191,5787191,https://cdn.thingiverse.com/assets/03/4e/e5/54/bc/card_preview_057d9806-2abb-46eb-901a-129648cd49ea.png
Ghost Dragon (unfused),sm02463,47,[],0,[],0,0,6,"by sm02463 February 03, 2023",https://www.thingiverse.com/thing:5830964,5830964,https://cdn.thingiverse.com/assets/94/64/2a/ff/5e/card_preview_281132d4-87c6-43d5-836b-7a1f351664ab.png
Mimic miniature,WildMagicForge,47,"['dnd', 'miniature', 'TTRPG']",0,[],0,0,6,"by WildMagicForge January 28, 2023",https://www.thingiverse.com/thing:5817076,5817076,https://cdn.thingiverse.com/assets/c2/b3/fe/cb/41/card_preview_68cd9e2f-0f18-4d61-a85d-00a5376e0636.png
Baby Yoda Bic Buddy,FrightenedEMU,47,"['420', 'bic', 'Bic Buddy', 'BIC lighter', 'Bic Lighter Case', 'lighter', 'Lighter case', 'lighter holder', 'lighter sleeve', 'mini bic']",2,"[['please make a chewbacca bic buddy!', 'Thank you for the request! I just uploaded 5 Chewbacca Bic Buddies on one post. Let me know if you or anyone else has requests. I want Bic Buddies to be for everyone! More ideas welcome!!']]",0,0,4,"by FrightenedEMU February 09, 2023",https://www.thingiverse.com/thing:5843906,5843906,https://cdn.thingiverse.com/assets/1a/a7/a7/79/95/card_preview_1c5e2f87-14ff-4563-b409-5fa40ac8922b.png
Bits Storage Box for Board Game Piece,Vandaln,47,"['bits', 'boardgame', 'boardgames', 'box', 'small parts storage', 'storage', 'Storage Box']",1,[['This looks really good. Do you have some source files? I would like to make alterations while keeping the sliding part.']],0,0,4,"by Vandaln February 16, 2023",https://www.thingiverse.com/thing:5857833,5857833,https://cdn.thingiverse.com/assets/01/6d/2a/8d/d2/card_preview_4a34aa9d-3ce3-459c-a475-f129ac34330a.png
Sans Amiibo Figure,DapperIndividual,47,"['amiibo', 'deltarule', 'sans', 'smash', 'smash ultimate', 'Super Smash Bros', 'undertale']",1,"[['This was a great print and worked well, even though it is still a work in progress. I suggest maybe adding a pre-supported file for easier removal of the supports. All in all, wonderful work. :]']]",0,0,4,"by DapperIndividual January 23, 2023",https://www.thingiverse.com/thing:5808481,5808481,https://cdn.thingiverse.com/assets/49/14/fd/74/bd/card_preview_a75d27f9-841e-4c73-891f-288b343b42d6.png
Spinning Heart Shaped Bed Mimic,mz4250,46,"['bed', 'Heart', 'mimic', 'valentines day']",0,[],0,0,6,"by mz4250 February 14, 2023",https://www.thingiverse.com/thing:5854810,5854810,https://cdn.thingiverse.com/assets/e3/a8/96/c8/8d/card_preview_6213022d-81bf-4051-a459-8516e0b6ade6.JPG
Tailor's measure tape reel,EagleB3,46,[],0,[],0,0,6,"by EagleB3 February 08, 2023",https://www.thingiverse.com/thing:5842155,5842155,https://cdn.thingiverse.com/assets/0f/ee/94/c2/ba/card_preview_8c09cd2d-4987-49e3-9595-ebbc393ecddf.jpg
Material Thickness Reference / Guide,bmfstuff,46,"['computer', 'Computer Accessories', 'drive', 'Filler', 'hard drive', 'IKEA Skadis', 'Lee Loadmaster', 'lee turret', 'Loadmaster', 'skadis ikea']",1,"[[""The ONLY gripe I'd have with this is how tuned in your printer would need to be to compensate for shrinkage. Otherwise it's a pretty good idea.""]]",0,0,6,"by bmfstuff January 26, 2023",https://www.thingiverse.com/thing:5812176,5812176,https://cdn.thingiverse.com/assets/d1/67/5d/ba/ac/card_preview_628b2411-4f35-4403-a8f8-375f6d2d730b.jpg
weapon_assets_-_aos_-_wood_elves_-_gubbins,jimjimjimmyjim,46,['AoS'],0,[],0,0,6,"by jimjimjimmyjim January 31, 2023",https://www.thingiverse.com/thing:5824496,5824496,https://cdn.thingiverse.com/assets/cb/67/2d/df/53/card_preview_bb5e11b3-c3b4-4e4a-bdbc-8f3be0c79d37.png
"New articulated ammonite (shell, head and tentacles) flexible print-in-place",Nebetbastet,46,"['ammonite', 'Articulated', 'flexible', 'Jurassic', 'Print-in-place', 'print in place', 'toy']",0,[],0,0,6,"by Nebetbastet February 17, 2023",https://www.thingiverse.com/thing:5859917,5859917,https://cdn.thingiverse.com/assets/47/a8/22/56/d8/card_preview_a9cace85-a372-45ac-8000-fe4b4e78c42c.jpg
"Team Rose Figurine Set: Amy, Cream, Big, and Sticks",DapperIndividual,46,"['amiibo', 'amy', 'Amy Rose', 'big', 'Big The Cat', 'CREAM', 'Cream and Cheese', 'smash', 'Smash Bros', 'Smash Ulitimate', 'sonic', 'Sonic the Hedgehog', 'Super Smash Bros']",0,[],0,0,4,"by DapperIndividual January 23, 2023",https://www.thingiverse.com/thing:5808475,5808475,https://cdn.thingiverse.com/assets/fa/a1/5b/69/da/card_preview_8d8da479-10cb-4efa-8342-536c04324671.png
Safebox with classic numeric code V.2,mBraga1989,46,"['box', 'container', 'engineering', 'FDM printing', 'mechanical', 'mechanism', 'numeric', 'password', 'safe', 'safe box', 'storage', 'vault']",2,"[[""It's possible to change the combination when I want if I don't glue the parts ? Will the safe still work?"", ""Hello! Thanks for your comment! Unfortunately this mechanism works properly only if the markers are glued onto the discs. So after choosing the combination, it is not possible to change it.\nI'm working on a simple design where the combination can be changed, with no glue at all. I hope to be able to post it soon.""]]",0,0,6,"by mBraga1989 February 14, 2023",https://www.thingiverse.com/thing:5853561,5853561,https://cdn.thingiverse.com/assets/d3/9e/64/c6/c3/card_preview_66b46752-f3c6-453e-8a84-6eba54335604.jpg
valentines heart fidget,AJ_Dandraia,45,[],3,"[[""You misspelled Valentine's Day on the model. It;s an E not an I.""], [""The lettering reduces the outer heart thickness and does not show well. The image is misleading, and I didn't notice until the print was around 60% where the issue begins."", 'It\'s also spelled wrong - ""Valentine"", not ""Valintine"".']]",0,0,3,"by AJ_Dandraia February 05, 2023",https://www.thingiverse.com/thing:5836799,5836799,https://cdn.thingiverse.com/assets/dd/80/3a/0d/c2/card_preview_ddec21aa-6754-4abb-90fa-d48cdf1e9520.png
"Dinghy 'SAUCY' 1:87 scale, 1:6 scale",CPomeroy,45,"['16', '187', 'Action Man', 'beach', 'boat', 'dinghy', 'diorama', 'fiberglass', 'Fibreglass', 'ho scale', 'rowing', 'Rowing Boat', 'saucy', 'scale', 'scale model', 'Tender']",0,[],0,0,6,"by CPomeroy February 13, 2023",https://www.thingiverse.com/thing:5852932,5852932,https://cdn.thingiverse.com/assets/e2/52/e9/84/c9/card_preview_c7f5c0c2-3c55-46c8-9938-55a8bd706484.jpg
Can holder for fridge,Bladan,45,"['beer', 'beerholder', 'can', 'tin']",0,[],0,0,6,"by Bladan February 09, 2023",https://www.thingiverse.com/thing:5844660,5844660,https://cdn.thingiverse.com/assets/cc/f2/49/44/15/card_preview_1a77f5e1-4908-4563-8587-e47811dd7230.jpg
