title,name,likes,tags,commentsCount,comments,makes,remixes,apps,date,url,id,img
"Curvy, Simple Incense Holder",DorffMeister,18,"['curvy', 'Incense', 'incenseholder', 'incense burner', 'incense holder']",0,[],0,0,4,"by DorffMeister January 30, 2023",https://www.thingiverse.com/thing:5822681,5822681,https://cdn.thingiverse.com/assets/60/81/cd/dc/a9/card_preview_97eba2ce-a4b3-45ac-8e4c-69bb911fdee5.jpg
Disposable Gloves Wall Bracket,EngineerErrant,18,"['bracket', 'disposable gloves', 'gloves', 'Nitrile Gloves', 'wall mount']",0,[],0,0,6,"by EngineerErrant February 09, 2023",https://www.thingiverse.com/thing:5843626,5843626,https://cdn.thingiverse.com/assets/fd/c2/55/32/ef/card_preview_72e7fdb3-2c2a-4032-8f10-87051cd14224.jpg
"V6 5"" Toroidal Prop With 5mm Shaft, Tri-Loop Version",WillowEhrich,18,"['drone', 'fpv', 'propeller', 'Quadcopter', 'toroidal']",4,"[['sadly they did not make it off the bed in one piece. looks like there were victim of a storm https://youtu.be/EzmaLCf5Dpg', 'Oh no! Sorry that happened, I\'ve had others have good success printing these so I\'m not sure what happened. I hope you\'ll give my designs a try again with hopefully better results! My upcoming V7 series should have better bed adhesion, updated airfoil profiles and a more optimized pitch angle.wow that sounds fantastic! if I can print them, may you make a tri blade version in 2.8"" or maaaaaybe 2.9"" please? My DJI Avata has 3"" ducts and the 3"" props do not fit. I resized some 3"" to 2.8"" last week and they fit, but did not fly so well... maybe yours do better?Part of my V7 series will include 40mm and 65mm versions and the 3"" blades will be slightly under 3"" so hopefully those will fit better for you. If they don\'t I\'ll for sure make a 2.8"" version for you. I hope you enjoy my designs! Thanks again!', 'wow that sounds fantastic! if I can print them, may you make a tri blade version in 2.8"" or maaaaaybe 2.9"" please? My DJI Avata has 3"" ducts and the 3"" props do not fit. I resized some 3"" to 2.8"" last week and they fit, but did not fly so well... maybe yours do better?Part of my V7 series will include 40mm and 65mm versions and the 3"" blades will be slightly under 3"" so hopefully those will fit better for you. If they don\'t I\'ll for sure make a 2.8"" version for you. I hope you enjoy my designs! Thanks again!', 'Part of my V7 series will include 40mm and 65mm versions and the 3"" blades will be slightly under 3"" so hopefully those will fit better for you. If they don\'t I\'ll for sure make a 2.8"" version for you. I hope you enjoy my designs! Thanks again!']]",0,0,6,"by WillowEhrich February 09, 2023",https://www.thingiverse.com/thing:5843819,5843819,https://cdn.thingiverse.com/assets/33/c9/f1/87/e3/card_preview_f582aef9-7b20-4525-aeed-2cf941449508.jpg
Crochet Hook,LJmedEng22,18,"['blanket', 'crochet', 'crochet hook', 'crochet tool', 'hand tools', 'hook', 'sewing', 'tool', 'weave', 'weaving']",0,[],0,0,4,"by LJmedEng22 January 26, 2023",https://www.thingiverse.com/thing:5803515,5803515,https://cdn.thingiverse.com/assets/66/6a/57/5b/4a/card_preview_4de5d45e-9141-4050-a32e-ce93779e67a5.jpg
Programmable RGB LED Globe,Miller_Time,18,"['arduino', 'christmas', 'christmas decoration', 'christmas ornament', 'Christmas Tree Topper', 'chromactic orb', 'decor', 'globe', 'orb', 'rgb', 'RGB LED Strip', 'Tree topper']",0,[],0,0,6,"by Miller_Time January 30, 2023",https://www.thingiverse.com/thing:5823007,5823007,https://cdn.thingiverse.com/assets/bd/af/cc/9b/e3/card_preview_3b67aabe-dc54-4e3c-b366-8d7808a36655.jpg
Clutch Pedal V3,EiURA,18,"['clutch pedal', 'Pedal DIY', 'Siim Pedal Clutch']",2,"[['What electronics are required?', 'Pedals uses 10k potentiometer']]",0,0,6,"by EiURA February 15, 2023",https://www.thingiverse.com/thing:5856370,5856370,https://cdn.thingiverse.com/assets/07/f9/1c/85/2a/card_preview_f975eec7-c717-43dc-a05d-7f284af2df58.png
Captain Rex's Helmet Phase 2 (Star Wars) Fixed,EverythingStarWars,18,"['clone', 'clone trooper', 'clone wars', 'helmet', 'mandalorian', 'rex', 'starwars', 'star wars']",0,[],0,0,6,"by EverythingStarWars February 08, 2023",https://www.thingiverse.com/thing:5843462,5843462,https://cdn.thingiverse.com/assets/11/c4/1e/e7/32/card_preview_11c3b546-88ba-40d2-b396-b84a66c97cba.png
The legend of Zelda Link Figure,melinHD,18,"['Action Figure', 'figure', 'Legend of Zelda', 'link', 'model', 'nintendo', 'the legend of zelda', 'Zelda']",0,[],1,0,6,"by melinHD February 15, 2023",https://www.thingiverse.com/thing:5852529,5852529,https://cdn.thingiverse.com/assets/0e/20/e8/2c/c9/card_preview_2a0d9dc3-059d-41b0-bcf5-95dcb7cabf30.png
4in Vent Quick Disconnect - Magnetic (Open Source),gizmobuddy,18,"['embedded magnets', 'freecad', 'magnetic', 'Vent']",0,[],0,0,6,"by gizmobuddy February 09, 2023",https://www.thingiverse.com/thing:5844620,5844620,https://cdn.thingiverse.com/assets/d0/f9/25/d7/53/card_preview_04941742-5b34-4d55-a9c1-0029c2a1aa50.jpg
Cable Hole Cover 38mm,normanwink,18,"['Brita', 'container', 'flask']",0,[],0,0,6,"by normanwink January 23, 2023",https://www.thingiverse.com/thing:5807879,5807879,https://cdn.thingiverse.com/assets/0b/e6/4a/5f/34/card_preview_ee85189c-73b7-4d00-b74d-79c9a519e606.png
